"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Components/MenuAdmin.js", "JavaScript", 211, 0, 2, 14, 227
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/BantuanKeluar.css", "CSS", 0, 14, 0, 3, 17
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/Confirmation.js", "JavaScript", 75, 0, 0, 7, 82
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/DataBantuanKeluar.js", "JavaScript", 57, 0, 0, 4, 61
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/FormBantuanKeluar.js", "JavaScript", 218, 0, 5, 14, 237
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/ItemData.js", "JavaScript", 161, 0, 9, 7, 177
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/NoData.js", "JavaScript", 66, 0, 0, 8, 74
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/Table.js", "JavaScript", 87, 0, 0, 3, 90
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/TableBantuanKeluar.js", "JavaScript", 144, 0, 0, 10, 154
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/index.js", "JavaScript", 47, 0, 1, 8, 56
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/BantuanMasuk.css", "CSS", 0, 14, 0, 3, 17
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/Confirmation.js", "JavaScript", 76, 0, 0, 7, 83
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/DataBantuanMasuk.js", "JavaScript", 57, 0, 0, 4, 61
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/FormBantuanMasuk.js", "JavaScript", 233, 0, 4, 15, 252
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/Item.js", "JavaScript", 49, 0, 24, 5, 78
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/Item2.js", "JavaScript", 18, 0, 29, 5, 52
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/ItemData.js", "JavaScript", 161, 0, 8, 7, 176
"/Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/NoData.js", "JavaScript", 66, 0, 0, 7, 73
