Date : 2021-02-16 09:09:10
Directory : /Users/ardhian/Documents/TA FIX/my-final-project/src
Total : 182 files,  16502 codes, 484 comments, 1412 blanks, all 18398 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        162 |     16,220 |        463 |      1,356 |     18,039 |
| CSS        |         20 |        282 |         21 |         56 |        359 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        182 |     16,502 |        484 |      1,412 |     18,398 |
| Admin                                                                                                        |         60 |      4,984 |        179 |        421 |      5,584 |
| Admin/Components                                                                                             |          1 |        211 |          2 |         14 |        227 |
| Admin/Pages                                                                                                  |         59 |      4,773 |        177 |        407 |      5,357 |
| Admin/Pages/BantuanKeluar                                                                                    |          9 |        869 |         15 |         64 |        948 |
| Admin/Pages/BantuanMasuk                                                                                     |         11 |        963 |         72 |         74 |      1,109 |
| Admin/Pages/BantuanUtama                                                                                     |          5 |        359 |          2 |         33 |        394 |
| Admin/Pages/DataBantuanPos                                                                                   |          8 |        683 |         16 |         57 |        756 |
| Admin/Pages/DataBencana                                                                                      |          6 |        562 |         11 |         41 |        614 |
| Admin/Pages/DataPengungsi                                                                                    |          5 |        218 |         16 |         34 |        268 |
| Admin/Pages/DataPosko                                                                                        |          7 |        547 |         12 |         46 |        605 |
| Admin/Pages/MapPosko                                                                                         |          1 |         93 |          2 |          9 |        104 |
| Admin/Pages/PermintaanBantuan                                                                                |          5 |        293 |         25 |         29 |        347 |
| Components                                                                                                   |         13 |        770 |         29 |         72 |        871 |
| MainPage                                                                                                     |          3 |        347 |          5 |         23 |        375 |
| Petugas                                                                                                      |         17 |      2,710 |         57 |        177 |      2,944 |
| Petugas/Components                                                                                           |          1 |         70 |          1 |          7 |         78 |
| Petugas/Pages                                                                                                |         16 |      2,640 |         56 |        170 |      2,866 |
| Petugas/Pages/LaporanBencana                                                                                 |         10 |      1,830 |         32 |        102 |      1,964 |
| Petugas/Pages/ProfilePetugas                                                                                 |          3 |        453 |         21 |         33 |        507 |
| Posko                                                                                                        |         50 |      5,098 |         84 |        391 |      5,573 |
| Posko/Components                                                                                             |          3 |        319 |          3 |         22 |        344 |
| Posko/Page                                                                                                   |         46 |      4,734 |         81 |        361 |      5,176 |
| Posko/Page/BantuanKeluarPosko                                                                                |          9 |        870 |         15 |         64 |        949 |
| Posko/Page/BantuanMasukPosko                                                                                 |         11 |      1,095 |         35 |         82 |      1,212 |
| Posko/Page/DataPengungsi                                                                                     |          5 |        481 |          2 |         40 |        523 |
| Posko/Page/FasilitasPosko                                                                                    |          4 |        384 |          5 |         23 |        412 |
| Posko/Page/PermintaanBantuan                                                                                 |          5 |        447 |          2 |         42 |        491 |
| Posko/Page/PoskoBencana                                                                                      |          7 |        942 |          7 |         59 |      1,008 |
| actions                                                                                                      |         16 |      1,605 |         93 |        225 |      1,923 |
| layout                                                                                                       |          2 |         80 |          5 |          9 |         94 |
| reducers                                                                                                     |         12 |        501 |          0 |         52 |        553 |
| routing                                                                                                      |          1 |         27 |          0 |          4 |         31 |
| utils                                                                                                        |          1 |          9 |          0 |          3 |         12 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Components/MenuAdmin.js                           | JavaScript |        211 |          2 |         14 |        227 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/BantuanKeluar.css             | CSS        |         14 |          0 |          3 |         17 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/Confirmation.js               | JavaScript |         75 |          0 |          7 |         82 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/DataBantuanKeluar.js          | JavaScript |         57 |          0 |          4 |         61 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/FormBantuanKeluar.js          | JavaScript |        218 |          5 |         14 |        237 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/ItemData.js                   | JavaScript |        161 |          9 |          7 |        177 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/NoData.js                     | JavaScript |         66 |          0 |          8 |         74 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/Table.js                      | JavaScript |         87 |          0 |          3 |         90 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/TableBantuanKeluar.js         | JavaScript |        144 |          0 |         10 |        154 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanKeluar/index.js                      | JavaScript |         47 |          1 |          8 |         56 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/BantuanMasuk.css               | CSS        |         14 |          0 |          3 |         17 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/Confirmation.js                | JavaScript |         76 |          0 |          7 |         83 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/DataBantuanMasuk.js            | JavaScript |         57 |          0 |          4 |         61 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/FormBantuanMasuk.js            | JavaScript |        233 |          4 |         15 |        252 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/Item.js                        | JavaScript |         49 |         24 |          5 |         78 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/Item2.js                       | JavaScript |         18 |         29 |          5 |         52 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/ItemData.js                    | JavaScript |        161 |          8 |          7 |        176 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/NoData.js                      | JavaScript |         66 |          0 |          7 |         73 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/Table.js                       | JavaScript |         87 |          0 |          3 |         90 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/TableBantuanMasuk.js           | JavaScript |        146 |          0 |         10 |        156 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanMasuk/index.js                       | JavaScript |         56 |          7 |          8 |         71 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanUtama/DataBantuan.css                | CSS        |         14 |          0 |          3 |         17 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanUtama/DataBantuanUtama.js            | JavaScript |        173 |          1 |         13 |        187 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanUtama/NoData.js                      | JavaScript |         55 |          0 |          6 |         61 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanUtama/Tabel.js                       | JavaScript |         80 |          0 |          6 |         86 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/BantuanUtama/index.js                       | JavaScript |         37 |          1 |          5 |         43 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/DataBantuanPosById.js        | JavaScript |         73 |          1 |          6 |         80 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/DataBantuanPosko.js          | JavaScript |         66 |          9 |          6 |         81 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/DataPos.js                   | JavaScript |         40 |          1 |          4 |         45 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/TableBantuanKeluar.js        | JavaScript |        144 |          0 |         10 |        154 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/TableDataBantuan.js          | JavaScript |        146 |          0 |         10 |        156 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/Tabs.js                      | JavaScript |        110 |          0 |         11 |        121 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/index.js                     | JavaScript |        101 |          5 |         10 |        116 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBantuanPos/style.css                    | CSS        |          3 |          0 |          0 |          3 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBencana/DataBencana.js                  | JavaScript |         35 |          0 |          4 |         39 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBencana/DataBencanaById.js              | JavaScript |        253 |          5 |         11 |        269 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBencana/Tabel.js                        | JavaScript |         84 |          0 |          7 |         91 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBencana/TabelKerusakan.js               | JavaScript |         94 |          1 |          7 |        102 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBencana/index.js                        | JavaScript |         96 |          5 |         11 |        112 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataBencana/style.css                       | CSS        |          0 |          0 |          1 |          1 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/DataPengungsi.css             | CSS        |          7 |          0 |          4 |         11 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/DataPengungsi.js              | JavaScript |         70 |          0 |          7 |         77 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/Tabel.js                      | JavaScript |         77 |          6 |         12 |         95 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/TabelItem.js                  | JavaScript |         36 |          5 |          4 |         45 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPengungsi/index.js                      | JavaScript |         28 |          5 |          7 |         40 |
